x;y;z;width;alpha
643.8901596840147;135.11491606133697;0;20;60
19.201509292433936;92.61957356293716;0;20;60
348.32094339886834;167.953981358061;0;20;60
314.69805480627616;108.74306114997634;0;20;60
692.9305126097084;199.73970227897212;0;20;60
797.2466663084468;160.6894710689431;0;20;60
708.4513563385509;184.7481931583969;0;20;60
973.4017785184213;208.62082988578007;0;20;60
118.17803766646726;58.84544342189735;0;20;60
997.4251682985227;224.43862711358238;0;20;60
530.3174678689758;109.66704562704784;0;20;60
140.29408671242854;132.06914653422996;0;20;60
89.6168508336352;127.56163751189969;0;20;60
564.0568144577745;113.52065163948083;0;20;60
810.1057658917758;56.94140597383133;0;20;60
849.4222269736085;92.76908714971016;0;20;60
698.8462654960313;165.6623673254933;0;20;60
149.81697623586024;2.726996734974505;0;20;60
433.12127934331943;33.30056496035871;0;20;60
65.90759115585176;75.41438805181173;0;20;60
746.9389376797074;74.94626162925283;0;20;60
545.308269175939;165.73357861013187;0;20;60
612.8640887658217;120.402619890869;0;20;60
418.6052079584211;9.352719374694574;0;20;60
573.2892274611083;22.44950109997824;0;20;60
293.321070362095;6.123653306215865;0;20;60
901.4141232729289;172.71516350141366;0;20;60
469.1299628376821;34.62055235465477;0;20;60
301.0795769004414;59.446569303131994;0;20;60
926.5885966725763;45.294866244405;0;20;60
184.30370153984805;71.92878518283239;0;20;60
354.21080079547176;1.0111608443805162;0;20;60
528.5918780003552;136.5250555773571;0;20;60
644.3659903033073;189.72495837333426;0;20;60
851.688897691658;130.3002059103108;0;20;60
573.5651991927236;131.82065900553212;0;20;60
294.9080578079835;35.65446196383088;0;20;60
550.5958233021316;46.192379844986;0;20;60
29.015334279419264;177.45346985342394;0;20;60
870.3634907726877;58.798303289218865;0;20;60
565.3969328567455;63.38614165227158;0;20;60
541.3510611053122;219.6904543862123;0;20;60
229.74464093993143;165.10143382911207;0;20;60
893.1247892267613;3.578068953772726;0;20;60
821.0381203431438;99.40946395109515;0;20;60
83.03653766121407;99.1481598690029;0;20;60
791.8757785216197;136.19317885846075;0;20;60
344.28992073885433;91.50703348092632;0;20;60
908.5405256750183;213.4906375280299;0;20;60
479.4771932045325;70.70448508071733;0;20;60
606.6506475468988;208.89411348508864;0;20;60
745.8305413174006;205.57723478617356;0;20;60
281.039548955428;66.8587364981525;0;20;60
476.8708258809327;88.08003688542978;0;20;60
815.8957792464264;193.41678226365943;0;20;60
398.2492844482972;213.71247183131706;0;20;60
141.01497482197124;184.40790408043162;0;20;60
31.097647252080428;225.13162494796478;0;20;60
286.1450408745275;94.34659417161531;0;20;60
638.081564066741;77.64961158895422;0;20;60
973.4000263298312;33.878603386626565;0;20;60
406.0522653553815;103.65270464346528;0;20;60
37.35961830033304;73.07440558133591;0;20;60
1004.0561872202786;85.40585925214965;0;20;60
179.78705232521398;229.36443977177404;0;20;60
385.7971711362407;73.70586579520754;0;20;60
383.35995725418616;171.1120114973862;0;20;60
876.3523574762972;158.61181902800152;0;20;60
699.9772701274302;126.97341124231339;0;20;60
599.2260904264481;187.34474699357853;0;20;60
819.44407774566;139.91136098118793;0;20;60
704.7267092529601;11.664421438966022;0;20;60
43.874248860519806;135.68754618894735;0;20;60
442.0433324603724;97.7327720783315;0;20;60
875.2405521494446;110.5249114286682;0;20;60
66.79899657943427;22.33421711380668;0;20;60
898.88698161606;147.30021652664573;0;20;60
827.711878870342;162.0747069626985;0;20;60
59.47837565470141;55.88395877826412;0;20;60
864.304163581276;6.859860988040794;0;20;60
138.87558301343282;225.4761896885388;0;20;60
549.4346937332259;12.205403185748086;0;20;60
962.2203825428763;134.02218500421364;0;20;60
163.2902526468725;43.290692843683146;0;20;60
567.3608166210262;95.02413084805859;0;20;60
726.1900204109355;108.78148854106253;0;20;60
435.5077780048291;163.12537861261023;0;20;60
956.3617905365008;114.15123159404;0;20;60
430.95842422620757;207.62938048395088;0;20;60
405.70865324946743;168.87489358230428;0;20;60
445.980848150434;191.26009008407894;0;20;60
941.4911528963912;76.91520966548421;0;20;60
85.67779822500052;70.54501668671453;0;20;60
712.7899587923793;42.39470256594642;0;20;60
962.4003194587685;181.50909554702298;0;20;60
174.29968732872328;140.9118218178031;0;20;60
614.091162699751;79.34029437659376;0;20;60
112.15454947292781;134.84851284955553;0;20;60
298.5405165625421;185.29574413042127;0;20;60
886.1882909327348;30.38265060188384;0;20;60
1009.044056605708;145.38602699858458;0;20;60
832.383829991545;229.40846000659064;0;20;60
366.3891753399943;152.30665168090655;0;20;60
209.52285704159024;185.58008577714142;0;20;60
971.7324834048977;4.208934449585616;0;20;60
610.6336369832557;160.6863528007839;0;20;60
166.41782297955172;96.71851006504964;0;20;60
802.8860462931826;30.539339520310804;0;20;60
659.6948731338555;203.75622383439105;0;20;60
670.3588242615805;64.77252037809154;0;20;60
483.42324326129403;119.32560536893462;0;20;60
321.9641335262406;210.60225750924687;0;20;60
413.1137347476471;83.39785069005116;0;20;60
472.78847933653304;153.60761240267655;0;20;60
964.5188537529702;91.30885025550646;0;20;60
936.5488761519854;196.75649000526582;0;20;60
403.92040849124777;134.90145807801431;0;20;60
45.67794723668529;168.753398324553;0;20;60
61.39100188226671;158.15626526240317;0;20;60
726.2893100175718;61.2272061769138;0;20;60
937.9837101704345;221.66138038099277;0;20;60
790.9606419047631;223.69559216926294;0;20;60
167.4339000553961;199.6158984982154;0;20;60
130.38376356820194;42.55518305578556;0;20;60
192.454160155061;173.1741093012358;0;20;60
153.34927098099175;212.37733218730128;0;20;60
180.16377394788242;52.83456543823559;0;20;60
630.31676469573;221.99044280552528;0;20;60
38.53409240979931;108.65041623084441;0;20;60
335.0753037046126;179.6832684611204;0;20;60
745.5141844483212;169.5436881529681;0;20;60
717.0952609698127;210.11854435320527;0;20;60
1005.1641917875511;197.90967553974585;0;20;60
689.7030997615041;104.40278514402887;0;20;60
96.1277291938063;149.82712550369482;0;20;60
263.5772449013673;208.76510881789213;0;20;60
903.0220523499166;42.92936406824043;0;20;60
223.3871913113441;204.9206074237605;0;20;60
985.9350054214752;100.30583480472853;0;20;60
521.3703898540431;209.05531777967735;0;20;60
94.59350578426543;176.4070011888423;0;20;60
792.6972685274845;204.3071419159175;0;20;60
400.0256099732216;55.83475719768231;0;20;60
839.4923835603284;209.1325065714099;0;20;60
99.32095312365074;226.72313064823754;0;20;60
119.63733529493868;215.5687333331479;0;20;60
77.57601702704501;183.32421894209998;0;20;60
415.39674922382846;46.109309610674536;0;20;60
198.04152271968348;32.500847211185686;0;20;60
339.5071340778382;19.566741986498265;0;20;60
613.5089537751414;35.134209430686845;0;20;60
521.4534891804847;92.12257923016637;0;20;60
308.871159454723;86.22106328147837;0;20;60
450.2840907399925;20.373591826021222;0;20;60
272.2682270537976;36.887850541287136;0;20;60
629.9435776428443;155.2693920369751;0;20;60
351.2109289271551;65.95543511524284;0;20;60
383.12695865008016;200.0411746969907;0;20;60
428.37333383034996;117.34061946389726;0;20;60
916.3969938233071;93.88062927568136;0;20;60
34.60611528653541;27.07683863417822;0;20;60
935.8266541355047;120.20915776363364;0;20;60
781.7209035436173;20.468748044808606;0;20;60
149.78132374094866;166.05235695401885;0;20;60
867.7916889592425;221.4843275376666;0;20;60
744.942240809429;49.812062060189206;0;20;60
922.6121409772784;63.933153685292694;0;20;60
264.02002171520894;101.92836422926771;0;20;60
383.05758983625395;92.50740181008733;0;20;60
352.77982003693097;221.90282971939016;0;20;60
133.49356334305676;97.88081570581556;0;20;60
614.9389542206449;55.900440376586985;0;20;60
391.4570569773708;17.21255280664181;0;20;60
220.6044716420415;32.41584722622389;0;20;60
457.69338971472916;117.11661194311147;0;20;60
382.656194784522;133.97122423612396;0;20;60
430.55912479345454;67.0046244614575;0;20;60
685.0882362492908;142.40000100283265;0;20;60
367.21715137006623;186.7469710894442;0;20;60
166.28081067711847;23.515376059957116;0;20;60
13.165434454756909;40.702576682661345;0;20;60
542.5456554803196;191.0018298594562;0;20;60
663.8069742627275;225.50569162952866;0;20;60
473.329147748644;208.7386675848208;0;20;60
315.7705544784622;3.010455089942417;0;20;60
562.6198951988385;220.5966610104853;0;20;60
207.1786377806088;50.96763025523696;0;20;60
825.2931778598796;120.01535701261841;0;20;60
7.962771190025322;130.24487586644747;0;20;60
733.1980588814671;14.676136907429912;0;20;60
827.6168081357362;11.481128178313245;0;20;60
124.66094891503025;18.092572992353897;0;20;60
31.464407718847507;48.64339873161359;0;20;60
741.9484626528393;121.53452710723718;0;20;60
193.05989150759092;201.7966464607935;0;20;60
227.22856771276847;223.6128531019975;0;20;60
895.087147770405;190.21524180965616;0;20;60
603.78901246166;15.617581882271574;0;20;60
12.855272170031613;158.16827543290316;0;20;60
654.6996083779942;49.898997326436785;0;20;60
456.2764121486778;62.02177990760359;0;20;60
983.2891225490606;118.7148016710448;0;20;60
725.4589175334306;174.44094898606681;0;20;60
324.909778053465;48.50271595781609;0;20;60
97.35411879945823;16.322745002306146;0;20;60
205.2490017820343;5.022226121216678;0;20;60
786.1234017337791;93.1859473578328;0;20;60
999.3007807473439;41.450608864620214;0;20;60
80.3985302089049;162.44665730075573;0;20;60
689.2217402532149;67.89719692841457;0;20;60
96.93792651387317;42.13827624206019;0;20;60
279.7170297965726;115.37885423010235;0;20;60
741.0054265739843;229.78478754990553;0;20;60
859.596292147463;188.25786791222671;0;20;60
306.8055269740778;143.32155142431535;0;20;60
922.5898292179758;22.855340677540667;0;20;60
352.7360352511761;112.23327540807888;0;20;60
222.65685428001504;105.06707011738142;0;20;60
645.9774520128557;103.68145802451436;0;20;60
447.0833307639985;79.46060147085997;0;20;60
747.5589313854598;101.93229459064767;0;20;60
574.939225197898;198.36662462566622;0;20;60
667.7235607183417;34.63750384534895;0;20;60
650.4119066569056;9.183295077554734;0;20;60
719.8718462277643;132.14268760293186;0;20;60
226.31856656941824;53.578036161105295;0;20;60
222.76744591803677;130.94444086816986;0;20;60
48.14204697701801;207.41111741127736;0;20;60
372.8981915526667;27.57203998867571;0;20;60
667.0775717182955;82.46555292373871;0;20;60
283.2356343113734;153.887067060947;0;20;60
48.299185521365295;13.27577472840174;0;20;60
106.26069052983377;81.53676237785166;0;20;60
935.4793487137432;3.5100944637715785;0;20;60
40.17548201097844;90.95190690266557;0;20;60
403.10472052998796;232.17264708393455;0;20;60
670.7207404750965;4.468099109387942;0;20;60
199.12041564308396;136.34108185721018;0;20;60
660.6371555440134;166.70377051522033;0;20;60
921.6636213731035;175.91576801290392;0;20;60
13.968625708041012;11.7859028912925;0;20;60
60.42195061154069;222.85183459354565;0;20;60
520.1576175825861;62.35923041353694;0;20;60
964.423317715695;55.785163865748125;0;20;60
331.1000367902999;71.83528187239416;0;20;60
67.6165579986265;201.2324843191533;0;20;60
828.0959276806537;46.33348400802243;0;20;60
482.35007430595226;14.737505201903343;0;20;60
1000.938977714428;20.57910348995041;0;20;60
372.1934435742798;8.338043409677278;0;20;60
921.1632671955892;140.356692518436;0;20;60
196.51224932096102;222.66116306402904;0;20;60
832.6846892435358;186.26947127121866;0;20;60
340.2957960474056;40.4343227391368;0;20;60
